stu_id,x1stdob,x1ses,x1sex,x1race,x1par1edu,x1par2edu,x1mtscor,x2mtscor,x3gpa9,x3gpaacd,x1parexp,s1eduexp,s2eduexp,s4eduexp
29310,199400,NA,2,4,NA,NA,NA,53.8188,4,4,NA,NA,NA,NA
29311,199504,0.4439,2,8,4,2,70.4492,63.4194,4,4,10,6,6,6
29312,199407,-0.5628,1,8,2,NA,50.8419,NA,2,2.5,6,2,NA,NA
29313,199504,1.0579,1,8,4,4,75.966,69.1859,3.5,3.5,11,6,6,NA
29314,199508,-1.3419,1,3,2,NA,43.6401,NA,3,2.5,8,6,NA,4
29315,199312,-1.3419,2,5,2,NA,50.8887,46.7108,NA,NA,4,3,NA,NA
29316,199403,0.2412,1,8,NA,NA,46.029,NA,0.25,0.25,NA,NA,NA,NA
29317,199406,-0.2033,1,8,4,2,61.2165,NA,3.5,3.5,10,4,NA,NA
29318,199412,-0.3699,1,8,2,3,53.0383,53.0302,3,2,10,NA,NA,NA
29319,199409,0.1392,2,8,NA,NA,49.0384,48.5029,0.5,1,NA,NA,6,2
29320,199508,2.4319,2,8,7,7,56.1516,62.2917,4,4,11,NA,5,6
29323,199503,0.1243,2,2,NA,NA,51.4301,50.725,3.5,3.5,NA,6,4,5
29324,199504,0.3029,1,8,NA,NA,51.8556,53.2188,3.5,2.5,NA,NA,5,5
29325,199508,2.0087,1,2,7,5,77.6483,82.8997,4,4,10,6,6,4
29326,199503,1.1372,2,8,4,4,67.2453,64.4441,3.5,3.5,8,6,4,5
29327,199508,-0.4236,1,5,2,2,62.423,62.4094,3,3,11,6,6,6
29328,199408,0.8586,2,8,NA,NA,53.1298,54.3876,3,3,NA,NA,3,NA
29329,199506,-0.561,2,8,2,2,43.1642,42.3555,1.5,1.5,11,NA,2,NA
29330,199400,NA,2,NA,NA,NA,NA,40.8372,2.5,2.5,NA,NA,NA,NA
29331,199502,-0.3307,1,5,2,2,57.5898,58.8941,3.5,3,6,NA,4,4
29332,199508,0.5781,1,8,NA,NA,47.616,50.87,3.5,2.5,NA,2,3,3
29333,199400,NA,1,4,NA,NA,NA,40.7613,2.5,2.5,NA,NA,NA,NA
29334,199311,-1.4415,1,6,1,NA,45.2403,41.7146,0.5,0.5,10,6,4,4
29335,199508,-0.5089,1,8,2,2,57.3672,64.76,1.5,2,6,5,4,3
29336,199410,0.7485,1,3,4,4,53.0976,59.8093,2,3,8,6,6,6
29337,199508,-0.7751,2,8,2,NA,56.373,47.4272,3,2.5,2,NA,4,4
29339,199410,-0.6363,2,6,2,2,69.7179,62.825,3.5,4,10,5,5,5
29340,199504,1.3291,1,8,4,7,65.0407,65.8606,NA,NA,10,2,NA,NA
29341,199504,-0.1978,1,3,2,2,50.4392,NA,1,0.5,8,6,NA,NA
29342,199504,-0.5671,2,8,2,2,33.5767,35.5784,2,1.5,6,5,4,NA
29343,199506,-0.7901,2,8,2,NA,58.3604,50.1673,NA,NA,11,NA,3,NA
